"HolderAddress","Balance","PendingBalanceUpdate"
"0x30f271c9e86d2b7d00a6376cd96a1cfbd5f0b9b3","926219559.221983","No"
"0x60944c94cc930e6fdbfe84f3fab358745e72295c","10","No"
"0x6c239a83c21dadef58474d15fae103703d6f9c54","390256","No"
"0x1664b8d14e9c93fd28cb49a7851a50034d5d73f8","373206","No"
"0x3aeee5ba053ef8406420dbc5801fc95ec57b0e0a","2243911.92915607","No"
"0x7a7148526bbce328ed92eb081ad1c4026ab69783","1","No"
"0xc0e5c3fc9e9bb3479c4ba11cf55ae1be395d017d","0.0406220648142631","No"
"0x2e633d8054e9c03c8c7f1b38d5178f78f0f51a8a","905124.23166871","No"
"0x6cd5d4a5f5cf3e8bba0fa31ae28fd7e921878013","5279.07547543835","No"
"0xcf3692aad5a54ee9adf20ba365c4b476d3dec222","0.0001782","No"
"0x693c188e40f760ecf00d2946ef45260b84fbc43e","7.023E-15","No"
"0xcaabe832aedb2269a55ea5b1f3b22909b7e370e1","0.03281785304","No"
"0x5b4839afdd303ef0055a64442ad771bc3ea58d58","0.729880506950452","No"
"0x1b107927d20f8469f607549ca49954ddd2311cfd","64.0145153959254","No"
"0x07a2850fe921d581b4b826ff75eeec3e90d7f940","0.431457032313402","No"
"0x981b13c7fad15c39e202a5411c9235f6b94287f9","0.00638021729413676","No"
"0xc66cbe868e302927c0d685ec1be76cee49228f20","0.875588379918342","No"
"0x6f93acf27101b8acbdc8a3f7f813ddfc76af74f1","24004.1713441387","No"
"0x5f28005d861f2c5c5d11e0389153a1bf2e076cc9","0.00698831445610445","No"
"0xb334f9b909f8a930e0001c798ee2e1a40314045e","2384.49887664587","No"
"0x646784c95fc84e3c0b2203a97e9b427636a3c795","0.21746343154341","No"
"0x60718c1430f8c770182cf79f5adbbee8d4d96dce","100351.420545738","No"
"0x224e28c920ffab767200ef2f85b160557134ec9f","74935.35391","No"
"0xe2dac409e1d44ca89c369fd3ebd34d470e34871f","100000.02718414","No"
"0x191c5e248e29426385f2e6b739f263c60b95aff1","32861.4250512966","No"
"0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be","22694.21452","No"
"0x00215dcb99b513d4bb5e8656af98ceae239c489a","0.75217","No"
"0xa05a2e51beb7fde2c8cddd4750926fa6ca02b769","15006.12826","No"
"0xa34c8558b22bced464a4c0cf222457bdc632d1d8","0.0217","No"
"0x2909a6853cd7d5aa7d3ab1167519f9bb843b9618","146.38477","No"
"0x03c9bdfa724ad71e42810f5a681cb27f2f663b02","90607.4262415469","No"
"0x8175732f812af3aff7cf5f73dfcf947c9eef279c","1","No"
"0xc1b6b71a6c2ae306d3c7a52a0aa3b123cfcf93b8","0.969722431856377","No"
"0x4d869def870adb3b73bdb35f4a3c4d76c6e22975","24.4001798322608","No"
"0xd71c9450da5684898131851bb3bb657b45fd785f","33333","No"
"0xd6ac305f7efe48b3211ad7632b9cde1225f25ba3","122122.670303969","No"
"0xc93e07c2091349c62d94fcc4830f95c5cb67a5a9","8.72041907757923","No"
"0x858f9dd82595787a6fce53b6fc7832a6561545bc","0.00688","No"
"0xd3a5e587ff77541e849f85f6dc00abf4080b989a","5000","No"
"0x2c7121dcbd8e2288cd3e181d2c3b2477527c3e81","0.998989325118854","No"
"0xe62dfa68358d87684474f606c892ca8de76f14ea","0.015913887143151","No"
"0x07d2438d7285003e29f020642f322ad5d1e9cd17","5000.698865268","No"
"0x1dce110f7664d036c7c65adf26696346c8950591","873.282976824804","No"
"0x27833bb123d0017e4c51066aa4f5be1fd423a56a","8E-05","No"
"0x96648e8454e7ee48fd1a29bfea1c00b8b108f457","6359.19869947355","No"
"0xbc67e6c2de6e9df08c59fc7ec16d2cc81449c3be","251.91956169333","No"
"0xb8b9ac8ea35d8ed527958f3120a47772fcbb5ac0","6838.72264050153","No"
"0xfc2f4f93fd4f2ee2a99f7df486f4521beec3ff62","141363.755873905","No"
"0x42101119bf84aa21c274a8e687f6bbf374ce16a7","19.5128483422224","No"
"0x18db5c1b33d7796caea49881b8eaca874052c107","1188.49872120969","No"
"0x24b23bb643082026227e945c7833b81426057b10","15000","No"
"0xeb8dc8b823381a89cb74bf897979697263ec85a5","7.08490410546565","No"
"0x335391f2006c318dc318230bdec020031d7dac75","11627.7070946157","No"
