"HolderAddress","Balance","PendingBalanceUpdate"
"0x3cc21a33fe8ed011a307fd5988f6535bcb3f2ae3","16339.9691604649","No"
"0x5b8235604885b9fb34e6dde5d8b47fb92c0371a9","5.996123","No"
"0xb96033696b7574413b15ddfa7e2631da48b280d3","504015.877534058","No"
"0x73a86455888902108bc88f5831919e23098b9b04","715765.670413462","No"
"0x31d82e1dbe6a128ade4d7cd0b20aeb99c1295f31","196871","No"
"0x9343ed009a289c38eec1c1729c28ee6fcf458805","105376.66","No"
"0xd1b06511b572b7212e157d3ef35b35b73d580a55","70408.04","No"
"0x801bd5a9af74e9a19d81f3c75e7a99a707c1174d","42451.52","No"
"0x8c277fa3335bca809c58dd866fb1e894e4371dc6","25459.91","No"
"0xc4a8d84bb5084ac0eaf9496961a71f3997d5b619","6254.52","No"
"0x5e7c89cb0356b1416255e99104ff05823223d11c","17750.13","No"
"0x484ccb5463d1ed585d527040156d9e22765080cc","39.5286063479013","No"
"0x30cc186e612fed9acd579f841b3556155c5ca3f9","2.62144E-13","No"
"0x31999c1341e1dd264f7e0f7662b57b4d6b3a9c13","4005.81092113426","No"
"0x5725884bbefff72159abf2cca97f286e4768ec3b","3.67302E-13","No"
"0xe53c3cf4802d056d9d8777b31705e6de05a715d4","3.91377E-13","No"
"0xec16e727fa41776494d5fa9f9b9f92451899d48c","4.68148E-13","No"
"0x416b8c1141a1c7bcc646a822208f0673b318bc0e","5.24288E-13","No"
"0x2591b7cc55402904067d4150e46f43bdee61496a","7.86432E-13","No"
"0x2346351ef8f29ee9b69e8e9eb54a8aab614a4faa","1.048576E-12","No"
"0x9bb7484bbc1cf4d82a0c594e171a863f3fb21d10","2.097152E-12","No"
"0xc8e41a31815bdc40f9bb73806b4e7670af9c72e4","2.861085E-12","No"
"0x9691d9ae28f200b6c123e122195fd22736335e6e","2.361041E-11","No"
"0x08f58aa678a48f8c02681607f776b3c639813d01","3.8360555E-11","No"
"0xbdc2d69ac7586e411a745eb4984b0bb7643cc0d5","5.5104639E-11","No"
"0x2a97478e016dcf7be8aaf924c764b0c67922f317","5.50344969E-10","No"
"0xe8d413bfd1ef6a1315661f86fa6cbbfd8fb59ac9","347.857000000721","No"
"0xf929095f6cb1cacac501e300cd0f090cab7a3c83","1.136881629E-09","No"
